__typename,advice,cons,countHelpful,employer,employerResponses,featured,hasEmployerResponse,isCurrentJob,jobTitle,lengthOfEmployment,location,pros,ratingBusinessOutlook,ratingCareerOpportunities,ratingCeo,ratingCompensationAndBenefits,ratingCultureAndValues,ratingDiversityAndInclusion,ratingOverall,ratingRecommendToFriend,ratingSeniorLeadership,ratingWorkLifeBalance,reviewDateTime,reviewId,summary
EmployerReviewRG,Should care more about their pilots,Strict culture but manageable indeed,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,"{'text': 'Pilot, First Officer'}",0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Good company to work at,,4.0,NO_OPINION,4.0,4,4,5,POSITIVE,4.0,4.0,2023-11-25T07:30:32.907,82082277,Good
EmployerReviewRG,,Busy schedule. I can’t handle night flight,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Flight Attendant'},9,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",I love to work with them,,5.0,,5.0,5,5,5,,5.0,5.0,2023-11-22T09:01:01.733,82019749,Good place to work
EmployerReviewRG,It's so messy I don't know where to start. I will have headache too if I'm in the management team.,"- A lot of bullying, young workers are told to do their senior's job - A lot of people didn't care about doing their job properly - Bad career opportunities - Work life balance is good if you just do normal, bad if you do your job well - Low pay",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Sales Executive'},9,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Concession tickets for employee and family,NEUTRAL,1.0,NO_OPINION,4.0,2,2,1,NEGATIVE,3.0,1.0,2023-08-22T11:43:05.987,79376652,Everything is bad.
EmployerReviewRG,,It is far from home,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Assistant Manager'},0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",I receive many advantage in this corporation,,0.0,,0.0,0,0,5,,0.0,0.0,2023-09-17T04:09:02.500,80140001,Garuda Indonesia
EmployerReviewRG,,Need more Fly ing hours,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Airline Pilot'},0,,So comfortable for work environment,,0.0,,0.0,0,0,4,,0.0,0.0,2023-09-14T17:00:46.793,80082604,Experience
EmployerReviewRG,Transparency os key,"Seniority between staff especially for boomers, career path not that great",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Analyst'},9,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}","Great ticket concession, medical insurance",POSITIVE,3.0,APPROVE,3.0,3,3,4,POSITIVE,2.0,2.0,2023-08-02T07:22:56.430,78787381,Great perks before the pandemic hit
EmployerReviewRG,,- Very highly regulated - Political influence are quite strong,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Remuneration Manager'},4,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",- Various engagement activity - Travel benefit are the best and unlimited - Good environment - Ownership culture - Career development,NEUTRAL,4.0,APPROVE,4.0,4,5,5,POSITIVE,5.0,4.0,2023-05-21T20:12:13.777,76645581,Most Beneficial Company for Woman to Work
EmployerReviewRG,,No Cons working on this company,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,"{'text': 'Flight Operations Officer, Flight Dispatcher'}",4,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",Best benefit offered by company,POSITIVE,5.0,APPROVE,5.0,5,5,5,POSITIVE,4.0,5.0,2023-07-07T01:32:48.563,78036693,Flight Dispatcher
EmployerReviewRG,,"well, it's state owned. so take everything i said with a grain of salt.",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,False,{'text': 'Senior Manager'},0,"{'id': 2709872, 'name': 'Jakarta', 'type': 'CITY'}",challenging industry to tackle can give you the room you need to broaden your views on how to play your part. choose your side wisely. A good-hearted angel or a hellbound evil. you might find it in there. I'll definitely will stay there for good if the covid impact to airline is not that severe. but life must goes on. i bit my farewell in 2022.,NEGATIVE,4.0,APPROVE,4.0,4,4,5,POSITIVE,4.0,4.0,2023-01-02T23:54:10.857,72267081,A good(-ish) balance between work and life with a touch of job security
EmployerReviewRG,,No guarantee for yearly raise,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Senior Manager'},0,,"Airplane tickets, and paid leave",POSITIVE,4.0,APPROVE,4.0,3,4,4,POSITIVE,4.0,4.0,2023-06-15T00:29:26.657,77396676,Great benefits
EmployerReviewRG,,Not bad all are good,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Engineer'},0,"{'id': 2833209, 'name': 'Chennai', 'type': 'CITY'}",Good employees are there for training,,3.0,,3.0,3,3,5,,3.0,3.0,2023-06-02T03:05:43.423,77009857,Good
EmployerReviewRG,"Should be Better after pandemic,focus on domestic market and some High demand of international Flight only to earn better revenue for the company and for the employees at the end","hope someday in the future,the Company could make salary for Air Crews is Closed to the international standard Market",0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,{'text': 'Captain'},0,,"payment for employee always on time ,shcedule published for the Crew is almost Fix and Never Change unless any irregularities,straight to the rules &amp; regulations specially Safety Concerns also Good Care of Cargo and Pax",POSITIVE,5.0,APPROVE,5.0,5,4,4,POSITIVE,5.0,5.0,2022-12-14T05:18:51.030,71852326,Could do Better for all employees income
EmployerReviewRG,"There are ways to make things right, and make the company healthy without sacrificing the employee",excessive income depreciation for the past few years,0,"{'id': 7530, 'shortName': 'Garuda Indonesia', 'squareLogoUrl': 'https://media.glassdoor.com/sql/7530/garuda-indonesia-squarelogo-1424676136262.png'}",[],False,False,True,"{'text': 'Pilot, First Officer'}",0,,"Facility given to employee, such us transportation and health insurance for family",NEGATIVE,4.0,APPROVE,3.0,5,5,4,NEGATIVE,3.0,5.0,2023-04-01T09:13:57.150,75098654,convenient working place
